P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out
-2232,-2236.944104,-4.944104069,,2232,2238.932779,6.932779452
-2268,-2273.116341,-5.116340502,,2268,2275.145808,7.145807718
-2304,-2309.289005,-5.289005214,,2304,2311.362859,7.362859252
-2340,-2345.467044,-5.467044273,,2340,2347.582345,7.582344997
-2376,-2381.648003,-5.648002854,,2376,2383.805054,7.805053842
-2412,-2417.83188,-5.831880242,,2412,2420.030986,8.030986224
-2448,-2454.016029,-6.016028993,,2448,2456.260994,8.26099399
-2484,-2490.205703,-6.205703372,,2484,2492.493387,8.49338735
-2520,-2526.398294,-6.398294432,,2520,2528.729006,8.729005557
-2556,-2562.593801,-6.59380146,,2556,2564.967849,8.967849046
-2592,-2598.789423,-6.789423137,,2592,2601.21082,9.210820076
-2628,-2634.990722,-6.99072153,,2628,2637.456128,9.456128049
-2664,-2671.194934,-7.194933767,,2664,2673.704663,9.704662618
-2700,-2707.402059,-7.402059136,,2700,2709.956424,9.956424218
-2736,-2743.609143,-7.609142646,,2736,2746.212366,10.21236555
-2772,-2779.822054,-7.822053764,,2772,2782.470595,10.47059515
-2808,-2816.037876,-8.037875893,,2808,2818.732053,10.73205309
-2844,-2852.256608,-8.256608325,,2844,2854.99674,10.99673981
-2880,-2888.475143,-8.475142592,,2880,2891.26673,11.26672952
-2916,-2924.699655,-8.699655163,,2916,2927.537901,11.53790124
-2952,-2960.927076,-8.927075919,,2952,2963.812303,11.81230306
-2988,-2997.157404,-9.157404151,,2988,3000.089935,12.08993542
-3024,-3033.387378,-9.387378117,,3024,3036.374978,12.37497772
-3060,-3069.623481,-9.62348089,,3060,3072.659123,12.65912261
-3096,-3105.862489,-9.862489025,,3096,3108.946499,12.94649936
-3132,-3142.104402,-10.10440182,,3132,3145.237108,13.23710842
-3168,-3178.345804,-10.34580444,,3168,3181.53533,13.53532977
-3204,-3214.593486,-10.59348618,,3204,3217.832455,13.83245493
-3240,-3250.84407,-10.84407046,,3240,3254.132814,14.13281371
-3276,-3287.097557,-11.09755659,,3276,3290.436407,14.43640657
-3312,-3323.350377,-11.35037685,,3312,3326.747814,14.74781422
-3348,-3359.609626,-11.60962634,,3348,3363.057927,15.05792674
-3384,-3395.871776,-11.87177556,,3384,3399.371275,15.37127467
-3420,-3432.136824,-12.13682381,,3420,3435.687858,15.68785843
-3456,-3468.401051,-12.4010507,,3456,3472.01246,16.01245964
-3492,-3504.671857,-12.67185675,,3492,3508.335567,16.33556664
-3528,-3540.94556,-12.94555972,,3528,3544.661911,16.66191082
-3564,-3577.222159,-13.2221589,,3564,3580.991493,16.99149261
-3600,-3613.497781,-13.49778144,,3600,3617.329295,17.32929464
-3636,-3649.780133,-13.78013286,,3636,3653.665403,17.66540325
-3672,-3686.065378,-14.06537839,,3672,3690.004751,18.0047508
-3708,-3722.353517,-14.35351734,,3708,3726.347338,18.34733775
-3744,-3758.640525,-14.64052455,,3744,3762.698348,18.69834788
-3780,-3794.93441,-14.93441019,,3780,3799.047465,19.04746523
-3816,-3831.231187,-15.23118713,,3816,3835.399823,19.3998233
-3852,-3867.530855,-15.5308547,,3852,3871.755423,19.75542254
-3888,-3903.829236,-15.82923563,,3888,3908.119648,20.11964807
-3924,-3940.134644,-16.13464433,,3924,3944.481781,20.4817813
-3960,-3976.442942,-16.44294155,,3960,3980.847157,20.84715704
-3996,-4012.754127,-16.7541266,,3996,4017.215776,21.21577571
-4032,-4049.063405,-17.0634048,,4032,4053.593224,21.59322394
-4068,-4085.380321,-17.38032136,,4068,4089.96838,21.96838021
-4104,-4121.700124,-17.70012366,,4104,4126.346781,22.34678077
-4140,-4158.022811,-18.02281098,,4140,4162.728426,22.72842605
-4176,-4194.341744,-18.34174414,,4176,4199.119104,23.11910428
-4212,-4230.670143,-18.67014328,,4212,4235.507291,23.50729076
-4248,-4267.001425,-19.00142538,,4248,4271.898723,23.8987233
-4284,-4303.33559,-19.33558973,,4284,4308.293402,24.29340235
-4320,-4339.665773,-19.66577263,,4320,4344.697318,24.69731791
-4356,-4376.005643,-20.00564331,,4356,4381.098542,25.09854178
-4392,-4412.348394,-20.34839418,,4392,4417.503013,25.50301349
-4428,-4448.694025,-20.69402452,,4428,4453.910733,25.91073349
-4464,-4485.035446,-21.03544641,,4464,4490.327894,26.32789371
-4500,-4521.386778,-21.38677762,,4500,4526.742162,26.74216214
-4536,-4557.740986,-21.74098623,,4536,4563.15968,27.15968021
-4572,-4594.098072,-22.09807154,,4572,4599.580448,27.58044836
-4608,-4630.450722,-22.45072171,,4608,4636.010861,28.01086059
-4644,-4666.813502,-22.81350242,,4644,4672.438181,28.43818078
-4680,-4703.179158,-23.17915778,,4680,4708.868752,28.86875241
-4716,-4739.547687,-23.54768707,,4716,4745.302576,29.30257591
-4752,-4775.911555,-23.9115548,,4752,4781.746247,29.74624749
-4788,-4812.285774,-24.28577403,,4788,4818.186627,30.18662666
-4824,-4848.662865,-24.66286514,,4824,4854.630259,30.63025905
-4860,-4885.042827,-25.04282743,,4860,4891.077145,31.07714512
-4896,-4921.417902,-25.41790203,,4896,4927.534083,31.53408342
-4932,-4957.803549,-25.80354881,,4932,4963.987529,31.98752878
-4968,-4994.192065,-26.19206471,,4968,5000.444229,32.44422916
-5004,-5030.583449,-26.58344903,,5004,5036.904185,32.90418501
-5040,-5066.96972,-26.96971983,,5040,5073.374397,33.37439741
-5076,-5103.366783,-27.36678321,,5076,5109.840916,33.84091619
-5112,-5139.766713,-27.76671294,,5112,5146.310692,34.31069179
-5148,-5176.169508,-28.16950834,,5148,5182.783725,34.78372466
-5184,-5212.566965,-28.5669647,,5184,5219.267219,35.26721854
-5220,-5248.975434,-28.97543372,,5220,5255.746818,35.74681798
-5256,-5285.386766,-29.38676636,,5256,5292.229676,36.22967605
-5292,-5321.800962,-29.80096191,,5292,5328.715793,36.71579318
-5328,-5358.209593,-30.20959318,,5328,5365.212576,37.21257595
-5364,-5394.629457,-30.62945693,,5364,5401.705263,37.7052633
-5400,-5431.052182,-31.05218156,,5400,5438.201211,38.20121108
-5436,-5467.477766,-31.47776636,,5436,5474.70042,38.70041974
-5472,-5503.897562,-31.89756191,,5472,5511.210499,39.21049879
-5508,-5540.328809,-32.3288095,,5508,5547.716281,39.71628131
-5544,-5576.762915,-32.76291521,,5544,5584.225326,40.22532607
-5580,-5613.199878,-33.19987836,,5580,5620.737634,40.73763352
-5616,-5649.630828,-33.63082759,,5616,5657.261016,41.26101628
-5652,-5686.073448,-34.07344812,,5652,5693.779901,41.77990125
-5688,-5722.518924,-34.51892404,,5688,5730.30205,42.30205026
-5724,-5758.967255,-34.96725467,,5724,5766.827464,42.82746377
-5760,-5795.409347,-35.40934698,,5760,5803.364158,43.36415768
-5796,-5831.86333,-35.86332959,,5796,5839.896152,43.89615236
-5832,-5868.320165,-36.32016486,,5832,5876.431413,44.43141291
-5868,-5904.779852,-36.7798521,,5868,5912.96994,44.96993977
-5904,-5941.233077,-37.23307694,,5904,5949.519952,45.51995226
-5940,-5977.698411,-37.69841077,,5940,5986.065064,46.06506397
-5976,-6014.166595,-38.16659454,,5976,6022.613443,46.61344336
-6012,-6050.637628,-38.63762755,,6012,6059.165091,47.16509087
-6048,-6087.101974,-39.10197435,,6048,6095.728429,47.72842939
-6084,-6123.578649,-39.57864858,,6084,6132.286665,48.28666542
-6120,-6160.05817,-40.05817001,,6120,6168.848171,48.84817095
-6156,-6196.540538,-40.54053797,,6156,6205.412946,49.41294642
-6192,-6233.015996,-41.01599619,,6192,6241.990581,49.99058063
-6228,-6269.504,-41.504,,6228,6278.561954,50.56195399
-6264,-6305.994848,-41.99484829,,6264,6315.136599,51.13659865
-6300,-6342.48854,-42.48854039,,6300,6351.714515,51.71451509
-6336,-6378.9751,-42.97509951,,6336,6388.310136,52.31013582
-6372,-6415.474422,-43.47442209,,6372,6424.89468,52.89468048
-6408,-6451.976586,-43.97658645,,6408,6461.482498,53.4824983
-6444,-6488.481592,-44.48159189,,6444,6498.07359,54.07358971
-6480,-6524.979241,-44.97924142,,6480,6534.682721,54.68272073
-6516,-6561.489872,-45.48987199,,6516,6571.280444,55.28044409
-6552,-6598.003342,-46.00334163,,6552,6607.881442,55.88144244
-6588,-6634.51965,-46.51964965,,6588,6644.485716,56.48571621
-6624,-6671.028379,-47.02837909,,6624,6681.108365,57.10836516
-6660,-6707.550307,-47.55030689,,6660,6717.719275,57.71927462
-6696,-6744.075071,-48.07507106,,6696,6754.333461,58.3334609
-6732,-6780.602671,-48.6026709,,6732,6790.950924,58.95092444
-6768,-6817.12247,-49.12246977,,6768,6827.587099,59.58709898
-6804,-6853.655684,-49.65568406,,6804,6864.211202,60.21120194
-6840,-6890.191732,-50.191732,,6840,6900.838584,60.83858356
-6876,-6926.730613,-50.73061292,,6876,6937.469244,61.46924427
-6912,-6963.261471,-51.26147077,,6912,6974.118952,62.11895207
-6948,-6999.805961,-51.80596081,,6948,7010.756256,62.75625595
-6984,-7036.353282,-52.35328181,,6984,7047.39684,63.39684033
-7020,-7072.903433,-52.90343308,,7020,7084.040706,64.04070565
-7056,-7109.445339,-53.44533948,,7056,7120.703954,64.70395438
-7092,-7146.001095,-54.00109455,,7092,7157.354467,65.35446661
-7128,-7182.559678,-54.5596779,,7128,7194.008261,66.00826117
-7164,-7219.121089,-55.12108882,,7164,7230.665339,66.66533853
-7200,-7255.674033,-55.67403334,,7200,7267.342136,67.34213588
-7236,-7292.241043,-56.24104276,,7236,7304.005864,68.0058639
-7272,-7328.810878,-56.81087775,,7272,7340.672876,68.67287609
-7308,-7365.383538,-57.38353764,,7308,7377.343173,69.34317293
-7344,-7401.94751,-57.94750987,,7344,7414.033527,70.03352661
-7380,-7438.525763,-58.52576295,,7380,7450.710478,70.71047786
-7416,-7475.106839,-59.10683891,,7416,7487.390715,71.39071515
-7452,-7511.690737,-59.69073709,,7452,7524.074239,72.07423892
-7488,-7548.26558,-60.26558006,,7488,7560.778157,72.77815663
-7524,-7584.855065,-60.85506545,,7524,7597.468339,73.46833859
-7560,-7621.447371,-61.44737105,,7560,7634.161808,74.16180843
-7596,-7658.042496,-62.04249619,,7596,7670.858567,74.85856661
-7632,-7694.621537,-62.62153681,,7632,7707.576056,75.57605608
-7668,-7731.222213,-63.22221287,,7668,7744.279476,76.27947622
-7704,-7767.825706,-63.82570647,,7704,7780.986186,76.98618609
-7740,-7804.432017,-64.43201693,,7740,7817.696186,77.69618615
-7776,-7841.021892,-65.0218917,,7776,7854.427255,78.42725511
-7812,-7877.633748,-65.63374785,,7812,7891.143921,79.14392091
-7848,-7914.248419,-66.24841888,,7848,7927.863878,79.8638783
-7884,-7950.865904,-66.86590412,,7884,7964.587128,80.58712774
-7920,-7987.466607,-67.46660682,,7920,8001.331784,81.33178394
-7956,-8024.089633,-68.08963253,,7956,8038.061703,82.06170289
-7992,-8060.71547,-68.71547047,,7992,8074.794915,82.79491529
-8028,-8097.34412,-69.34411995,,8028,8111.531422,83.53142161
-8064,-8133.95564,-69.9556405,,8064,8148.289673,84.28967281
-8100,-8170.589825,-70.58982525,,8100,8185.032852,85.03285243
-8136,-8207.22682,-71.22681958,,8136,8221.779327,85.77932736
-8172,-8243.866623,-71.86662281,,8172,8258.529098,86.52909807
-8208,-8280.488951,-72.48895113,,8208,8295.300952,87.30095204
-8244,-8317.134284,-73.13428443,,8244,8332.0574,88.05739983
-8280,-8353.782425,-73.78242466,,8280,8368.817145,88.81714481
-8316,-8390.433371,-74.43337114,,8316,8405.580187,89.58018744
-8352,-8427.066497,-75.06649717,,8352,8442.365652,90.36565196
-8388,-8463.722969,-75.72296854,,8388,8479.135375,91.13537547
-8424,-8500.382244,-76.38224419,,8424,8515.908398,91.90839803
-8460,-8537.044323,-77.04432344,,8460,8552.68472,92.6847201
-8496,-8573.688237,-77.68823715,,8496,8589.483803,93.48380297
-8532,-8610.355836,-78.35583612,,8532,8626.26681,94.26680973
-8568,-8647.026237,-79.02623672,,8568,8663.053117,95.05311742
-8604,-8683.699438,-79.69943829,,8604,8699.842726,95.84272649
-8640,-8720.35413,-80.35412966,,8640,8736.655436,96.6554355
-8676,-8757.032846,-81.03284578,,8676,8773.451733,97.45173307
-8712,-8793.714361,-81.71436089,,8712,8810.251333,98.25133344
-8748,-8830.398674,-82.39867434,,8748,8847.054237,99.05423707
-8784,-8867.064133,-83.06413336,,8784,8883.88058,99.88058005
-8820,-8903.753956,-83.75395619,,8820,8920.690176,100.690176
-8856,-8940.446575,-84.44657538,,8856,8957.503077,101.5030766
-8892,-8977.14199,-85.14199027,,8892,8994.319282,102.3192824
-8928,-9013.818207,-85.81820695,,8928,9031.159267,103.1592671
-8964,-9050.519126,-86.51912608,,8964,9067.982169,103.982169
-9000,-9087.222839,-87.22283894,,9000,9104.808377,104.8083775
-9036,-9123.929345,-87.92934487,,9036,9141.637893,105.6378929
-9072,-9160.616309,-88.61630923,,9072,9178.491527,106.4915274
-9108,-9197.328314,-89.32831425,,9108,9215.327743,107.3277428
-9144,-9234.04311,-90.04311038,,9144,9252.167267,108.1672666
-9180,-9270.760697,-90.76069696,,9180,9289.010099,109.0100994
-9216,-9307.458399,-91.45839904,,9216,9325.877391,109.8773913
-9252,-9344.18148,-92.18147957,,9252,9362.726928,110.7269279
-9288,-9380.907349,-92.90734859,,9288,9399.579775,111.5797747
-9324,-9417.636005,-93.63600544,,9324,9436.435932,112.4359324
-9360,-9454.344435,-94.34443529,,9360,9473.31689,113.3168897
-9396,-9491.078581,-95.07858097,,9396,9510.179755,114.179755
-9432,-9527.815513,-95.81551251,,9432,9547.045932,115.0459325
-9468,-9564.555229,-96.55522927,,9468,9583.915423,115.9154226
-9504,-9601.274377,-97.27437696,,9504,9620.810053,116.8100532
-9540,-9638.019577,-98.01957742,,9540,9657.686255,117.6862548
-9576,-9674.767561,-98.76756115,,9576,9694.565771,118.5657706
-9612,-9711.518327,-99.51832747,,9612,9731.448601,119.4486009
-9648,-9748.248183,-100.2481831,,9648,9768.356913,120.3569125
-9684,-9785.004428,-101.004428,,9684,9805.246458,121.2464582
-9720,-9821.763454,-101.7634536,,9720,9842.13932,122.1393198
-9756,-9858.525259,-102.5252591,,9756,9879.035498,123.035498
-9792,-9895.265813,-103.2658128,,9792,9915.957499,123.9574986
-9828,-9932.033092,-104.0330918,,9828,9952.860396,124.8603959
-9864,-9968.803149,-104.8031489,,9864,9989.766611,125.7666111
-9900,-10005.57598,-105.5759834,,9900,10026.67614,126.6761447
-9936,-10042.32723,-106.3272252,,9936,10063.61184,127.6118423
-9972,-10079.10553,-107.1055281,,9972,10100.5281,128.5280989
-10008,-10115.88661,-107.8866064,,10008,10137.44768,129.4476752
-10044,-10152.67046,-108.6704595,,10044,10174.37057,130.3705719
-10080,-10189.43238,-109.4323796,,10080,10211.31997,131.3199743
-10116,-10226.2217,-110.221696,,10116,10248.2496,132.2495979
-10152,-10263.01379,-111.0137852,,10152,10285.18254,133.1825432
-10188,-10299.80865,-111.8086467,,10188,10322.11881,134.1188106
-10224,-10336.58124,-112.5812352,,10224,10359.08193,135.0819259
-10260,-10373.38155,-113.3815549,,10260,10396.02492,136.0249241
-10296,-10410.18464,-114.1846448,,10296,10432.97125,136.9712459
-10332,-10446.9905,-114.9905043,,10332,10469.92089,137.9208917
-10368,-10483.77375,-115.7737514,,10368,10506.89773,138.8977278
-10404,-10520.58506,-116.5850641,,10404,10543.85411,139.8541083
-10440,-10557.39914,-117.3991444,,10440,10580.81381,140.8138144
-10476,-10594.21599,-118.2159918,,10476,10617.77685,141.7768464
-10512,-10631.00989,-119.0098876,,10512,10654.76741,142.7674111
-10548,-10667.83218,-119.8321831,,10548,10691.73718,143.7371817
-10584,-10704.65724,-120.6572436,,10584,10728.71028,144.7102797
-10620,-10741.48507,-121.4850686,,10620,10765.68671,145.6867056
-10656,-10778.2896,-122.2896034,,10656,10802.69101,146.691007
-10692,-10815.12287,-123.1228714,,10692,10839.67418,147.6741754
-10728,-10851.9589,-123.9589019,,10728,10876.66067,148.6606731
-10764,-10888.79769,-124.7976943,,10764,10913.6505,149.6505005
-10800,-10925.61286,-125.6128582,,10800,10950.66855,150.6685466
-10836,-10962.45709,-126.4570885,,10836,10987.66512,151.6651205
-10872,-10999.30408,-127.3040788,,10872,11024.66503,152.6650255
-10908,-11036.15383,-128.1538284,,10908,11061.66826,153.6682623
-10944,-11072.97961,-128.9796117,,10944,11098.70006,154.7000611
-10980,-11109.83479,-129.8347941,,10980,11135.71005,155.7100481
-11016,-11146.69273,-130.692734,,11016,11172.72337,156.7233684
-11052,-11183.55343,-131.5534305,,11052,11209.74002,157.7400222
-11088,-11220.38982,-132.3898234,,11088,11246.78558,158.7855817
-11124,-11257.25595,-133.2559479,,11124,11283.80899,159.8089897
-11160,-11294.12483,-134.1248271,,11160,11320.83573,160.8357328
-11196,-11330.99646,-134.9964605,,11196,11357.86581,161.8658115
-11232,-11367.84345,-135.8434533,,11232,11394.92514,162.9251396
-11268,-11404.72051,-136.7205095,,11268,11431.96198,163.9619764
-11304,-11441.60032,-137.600318,,11304,11469.00215,165.0021502
-11340,-11478.48288,-138.4828781,,11340,11506.04566,166.0456614
-11376,-11515.34046,-139.340461,,11376,11543.11877,167.1187663
-11412,-11552.22844,-140.2284389,,11412,11580.16904,168.1690396
-11448,-11589.11917,-141.1191665,,11448,11617.22265,169.2226518
-11484,-11626.01264,-142.012643,,11484,11654.2796,170.2796034
-11520,-11662.88081,-142.8808064,,11520,11691.36649,171.3664931
-11556,-11699.7797,-143.7796958,,11556,11728.43021,172.4302107
-11592,-11736.68133,-144.6813324,,11592,11765.49727,173.4972691
-11628,-11773.58572,-145.5857154,,11628,11802.56767,174.5676689
-11664,-11810.46445,-146.4644494,,11664,11839.66835,175.6683514
-11700,-11847.37424,-147.3742403,,11700,11876.74552,176.7455211
-11736,-11884.28678,-148.2867757,,11736,11913.82603,177.8260335
-11772,-11921.20205,-149.202055,,11772,11950.90989,178.9098893
-11808,-11958.09135,-150.09135,,11808,11988.02437,180.0243728
-11844,-11995.01203,-151.0120322,,11844,12025.115,181.1150023
-11880,-12031.93546,-151.9354564,,11880,12062.20898,182.2089766
-11916,-12068.86162,-152.8616219,,11916,12099.3063,183.3062961
-11952,-12105.76147,-153.7614683,,11952,12136.43459,184.4345886
-11988,-12142.69303,-154.6930317,,11988,12173.53869,185.5386859
-12024,-12179.62733,-155.6273346,,12024,12210.64613,186.6461299
-12060,-12216.56438,-156.5643762,,12060,12247.75692,187.756921
-12096,-12253.47476,-157.4747644,,12096,12284.89903,188.8990306
-12132,-12290.4172,-158.4171989,,12132,12322.0166,190.0166034
-12168,-12327.36237,-159.3623704,,12168,12359.13752,191.1375249
-12204,-12364.31028,-160.3102781,,12204,12396.2618,192.2617955
-12240,-12401.2312,-161.2311983,,12240,12433.41773,193.4177303
-12276,-12438.18449,-162.184494,,12276,12470.54879,194.5487865
-12312,-12475.14052,-163.140524,,12312,12507.68319,195.6831933
-12348,-12512.09929,-164.0992878,,12348,12544.82095,196.8209512
-12384,-12549.03073,-165.0307304,,12384,12581.99072,197.9907194
-12420,-12585.99488,-165.9948771,,12420,12619.13527,199.1352669
-12456,-12622.96176,-166.9617557,,12456,12656.28317,200.2831669
-12492,-12659.93137,-167.9313655,,12492,12693.43442,201.4344199
-12528,-12696.87332,-168.8733209,,12528,12730.61803,202.6180296
-12564,-12733.84831,-169.8483087,,12564,12767.77608,203.7760762
-12600,-12770.82603,-170.8260258,,12600,12804.93748,204.9374773
-12636,-12807.80647,-171.8064715,,12636,12842.10223,206.1022334
-12672,-12844.75893,-172.7589301,,12672,12879.29969,207.2996927
-12708,-12881.74475,-173.744749,,12708,12916.47125,208.4712463
-12744,-12918.73329,-174.7332946,,12744,12953.64616,209.6461564
-12780,-12955.72457,-175.7245664,,12780,12990.82442,210.8244234
-12816,-12992.68752,-176.6875186,,12816,13028.03954,212.0395373
-12852,-13029.68416,-177.6841585,,12852,13065.22462,213.2246169
-12888,-13066.68352,-178.6835226,,12888,13102.41305,214.4130549
-12924,-13103.68561,-179.6856104,,12924,13139.60485,215.6048517
-12960,-13140.65905,-180.6590467,,12960,13176.84153,216.841528
-12996,-13177.6665,-181.6664977,,12996,13214.04016,218.0401634
-13032,-13214.67667,-182.6766704,,13032,13251.24216,219.2421592
-13068,-13251.68956,-183.6895642,,13068,13288.44752,220.4475158
-13104,-13288.67347,-184.673475,,13104,13325.69823,221.6982314
-13140,-13325.69173,-185.6917271,,13140,13362.91043,222.9104306
-13176,-13362.7127,-186.7126984,,13176,13400.12599,224.1259922
-13212,-13399.73639,-187.7363883,,13212,13437.34492,225.3449165
-13248,-13436.73076,-188.730764,,13248,13474.60968,226.6096798
-13284,-13473.75981,-189.7598073,,13284,13511.83545,227.8354507
-13320,-13510.79157,-190.7915673,,13320,13549.06459,229.064586
-13356,-13547.82604,-191.8260434,,13356,13586.29709,230.2970861
-13392,-13584.83087,-192.8308745,,13392,13623.57591,231.5759053
-13428,-13621.8707,-193.870699,,13428,13660.81526,232.815256
-13464,-13658.91324,-194.9132377,,13464,13698.05797,234.0579731
-13500,-13695.95849,-195.95849,,13500,13735.30406,235.3040569
-13536,-13732.97377,-196.9737671,,13536,13772.59694,236.5969405
-13572,-13770.02436,-198.0243629,,13572,13809.84988,237.849879
-13608,-13807.07767,-199.0776705,,13608,13847.10619,239.1061858
-13644,-13844.13369,-200.1336891,,13644,13884.36586,240.3658613
-13680,-13881.1594,-201.1594026,,13680,13921.67282,241.6728178
-13716,-13918.22076,-202.2207598,,13716,13958.93935,242.939352
-13752,-13955.28483,-203.2848263,,13752,13996.20926,244.2092566
-13788,-13992.3516,-204.3516014,,13788,14033.48253,245.4825319
-13824,-14029.38774,-205.3877418,,13824,14070.80357,246.8035695
-13860,-14066.45985,-206.4598506,,13860,14108.08371,248.0837076
-13896,-14103.53467,-207.5346661,,13896,14145.36722,249.367218
-13932,-14140.61219,-208.6121878,,13932,14182.6541,250.6541011
-13968,-14177.65875,-209.6587456,,13968,14219.98923,251.9892283
-14004,-14214.7416,-210.7415961,,14004,14257.28298,253.2829783
-14040,-14251.82715,-211.8271508,,14040,14294.5801,254.5801026
-14076,-14288.91541,-212.9154092,,14076,14331.8806,255.8806015
-14112,-14325.97238,-213.972375,,14112,14369.22983,257.2298268
-14148,-14363.06596,-215.0659573,,14148,14406.5372,258.5371967
-14184,-14400.16224,-216.1622414,,14184,14443.84794,259.8479429
-14220,-14437.26123,-217.2612266,,14220,14481.16207,261.1620658
-14256,-14474.32859,-218.328591,,14256,14518.5254,262.5253976
-14292,-14511.4329,-219.4328953,,14292,14555.8464,263.8463955
-14328,-14548.5399,-220.5398989,,14328,14593.17077,265.1707716
-14364,-14585.6496,-221.6496011,,14364,14630.49853,266.4985265
-14400,-14622.72735,-222.7273546,,14400,14667.87597,267.8759733
-14436,-14659.84237,-223.8423711,,14436,14705.21061,269.2106073
-14472,-14696.96008,-224.9600843,,14472,14742.54862,270.5486215
-14508,-14734.08049,-226.0804937,,14508,14779.89002,271.8900165
-14544,-14771.16695,-227.1669519,,14544,14817.28159,273.2815867
-14580,-14808.29267,-228.2926668,,14580,14854.62986,274.6298649
-14616,-14845.42108,-229.421076,,14616,14891.98153,275.9815253
-14652,-14882.55218,-230.5521789,,14652,14929.33657,277.3365684
-14688,-14919.64211,-231.642115,,14688,14966.74227,278.7422706
-14724,-14956.7785,-232.7785028,,14724,15004.1042,280.104201
-14760,-14993.91758,-233.9175825,,14760,15041.46952,281.4695158
-14796,-15031.05935,-235.0593534,,14796,15078.83822,282.8382152
-14832,-15068.15955,-236.159552,,14832,15116.25806,284.2580578
-14868,-15105.3066,-237.306603,,14868,15153.63365,285.6336487
